type,name,link,difficulty
Arrays & Hashing, Contains Duplicate ,https://leetcode.com/problems/contains-duplicate/,Easy
Arrays & Hashing, Valid Anagram ,https://leetcode.com/problems/valid-anagram/,Easy
Arrays & Hashing, Two Sum ,https://leetcode.com/problems/two-sum/,Easy
Arrays & Hashing, Group Anagrams ,https://leetcode.com/problems/group-anagrams/,Medium
Arrays & Hashing, Top K Frequent Elements ,https://leetcode.com/problems/top-k-frequent-elements/,Medium
Arrays & Hashing, Product of Array Except Self ,https://leetcode.com/problems/product-of-array-except-self/,Medium
Arrays & Hashing, Valid Sudoku ,https://leetcode.com/problems/valid-sudoku/,Medium
Arrays & Hashing, Encode and Decode Strings ,https://leetcode.com/problems/encode-and-decode-strings/,Medium
Arrays & Hashing, Longest Consecutive Sequence ,https://leetcode.com/problems/longest-consecutive-sequence/,Medium
Two Pointers, Valid Palindrome ,https://leetcode.com/problems/valid-palindrome/,Easy
Two Pointers, Two Sum II Input Array Is Sorted ,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium
Two Pointers, 3Sum ,https://leetcode.com/problems/3sum/,Medium
Two Pointers, Container With Most Water ,https://leetcode.com/problems/container-with-most-water/,Medium
Two Pointers, Trapping Rain Water ,https://leetcode.com/problems/trapping-rain-water/,Hard
Sliding Window, Best Time to Buy And Sell Stock ,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy
Sliding Window, Longest Substring Without Repeating Characters ,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium
Sliding Window, Longest Repeating Character Replacement ,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium
Sliding Window, Permutation In String ,https://leetcode.com/problems/permutation-in-string/,Medium
Sliding Window, Minimum Window Substring ,https://leetcode.com/problems/minimum-window-substring/,Hard
Sliding Window, Sliding Window Maximum ,https://leetcode.com/problems/sliding-window-maximum/,Hard
Stack, Valid Parentheses ,https://leetcode.com/problems/valid-parentheses/,Easy
Stack, Min Stack ,https://leetcode.com/problems/min-stack/,Medium
Stack, Evaluate Reverse Polish Notation ,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium
Stack, Generate Parentheses ,https://leetcode.com/problems/generate-parentheses/,Medium
